seq_num,word,word_type,english_example,kashmiri_word,kashmiri_example,urdu_translation,chinese_word,chinese_example,turkish_word,turkish_example
3,stiff,Adj,"The manager of the five star hotel is very stiff.
",?????? ?????,????? ???? ?????? ????? ??? ??????  ????? ,"????? ????? ???? ?? ????? ??? ??? ???
",???,????????????,sert,Bes yildizli otelin müdürü çok katidir.
4,stiff,Adj,"The diamond necklace is too stiff to be bought by a common man.
",?????? ??????,?????? ????? ??? ??? ?????? ????? ??? ??? ???  ?????? ?????? ?????? ,"???? ?? ??? ??? ????? ?? ?? ??? ??? ???? ???? ???? ???? ???
",???,?????????,???????,sert,Elmas kolye siradan bir adamin satin alamayacak kadar sert.
5,stiff,N,"It was a very pathetic sight when Rajan`s stiff was lying in the coffin for the funeral.
",???,??? ??? ?????? ?????? ????  ?????? ???? ????? ??? ???????? ???? ?? ???????? ????? ,"?? ??? ??? ?? ????? ???? ??? ?? ???? ?? ??? ????? ?? ????? ??? ??? ???
",???,????????????????,????????????,sert,Cenaze töreni için Rajan'in cesedinin tabutta yatmasi çok acikli bir görüntüydü.
1,still,Adv,"She still hasn`t finished her work.
",?????? ???????? ???,???? ?????? ????? ??? ????? ??? ?????????,"?? ?? ???? ??? ???? ??? ??? ???? ????
",??,???????????,Hala,Halen isini bitiremedi.
2,still,Adv,"The carpenter is still willing to do the work.
",????? ???,???? ??? ????? ??? ??? ????? ????? ????,"????? ??? ??? ??? ???? ?? ???? ???
",??,????????????,Hala,Marangoz hâlâ isi yapmaya istekli.
3,still,Adv,"Though we have reached September, it `s still very hot.
",?????,?????? ?? ????? ??? ? ????? ??? ??? ?????? ??? ,"????? ?? ????? ??? ???? ??? ??? ? ????  ?? ??? ??? ???? ???
",??,????????,????????,Hala,Eylül ayina gelmis olmamiza ragmen hava hala çok sicak.
4,still,Adv,"Rama brings up still more good ideas.
",?????,??????? ?????   ?????? ??? ???? ??? ???? ,???? ??? ??? ???? ?????? ??? ???? ??,??,???????????,Hala,Rama daha da iyi fikirler ortaya çikariyor.
5,still,Adv,"She still hasn`t finished her work.
",?????? ???????? ???,???? ??????? ????? ??? ??? ?????????,"?? ?????? ??? ???? ??? ??? ???? ????
",??,???????????,Hala,Halen isini bitiremedi.
6,still,Adj,"The photographer asked me to stand still while clicking me.
",??????? ???????????,????? ?????? ???? ??? ?????? ????? ????? ?????? ????? ???? ????? ???,????????? ?? ???? ???? ???????? ???? ????? ???? ???? ?? ????,??,?????????,??????,Hala,Fotografçi beni tiklatirken hareketsiz durmami istedi.
7,still,Adj,The weather was absolutely still before the rain poured in.,?????,???? ??? ??????  ????? ???? ?????? ???????,???? ???? ?? ???? ???? ????? ???? ????,??,??????,???????,Hala,Yagmur yagmadan önce hava kesinlikle sakindi.
8,still,Adv,"Though we have reached September, it `s still very hot.
",?????,?????? ?? ????? ??? ? ????? ??? ??? ?????? ??? ,"????? ?? ????? ??? ???? ??? ??? ? ???? ?? ?? ??? ??? ??? ???
",??,????????,????????,Hala,Eylül ayina gelmis olmamiza ragmen hava hala çok sicak.
9,still,Adv,"Rama brings up still more good ideas.
",????? ?????,???? ??? ?????? ??? ???? ??? ???? ,???? ??? ??? ???? ?????? ??? ???? ??,??,???????????,Hala,Rama daha da iyi fikirler ortaya çikariyor.
1,stimulus,N,"Hard work acts as a stimulus to attain success.
",???,??? ???? ??? ??????? ????? ???? ???? ????? ????? ????? ,???? ??????? ?? ???? ?? ??? ???? ?? ??? ?? ??? ???? ???,??,?????????????,uyarici,Siki çalisma basariya ulasmak için bir tesvik görevi görür.
1,sting,N,"The sting of a snake is very poisonous.
",????,?????? ???? ??? ?????? ???????? ???? ,"???? ?? ??? ??? ?????? ???
",?,?????????,aci,Yilanin sokmasi çok zehirlidir.
2,sting,N,"When the sting of a cactus pricks the finger, it is very painful.
",?????,?????? ?????? ??? ???????? ????? ???? ???? ?????? ??? ??? ????,"?? ????? ?? ??? ????? ?? ???? ?? ?? ?? ??? ????? ?? ???? ???
",?,???????????,??????,aci,Bir kaktüsün ignesi parmaga battiginda çok aci verir.
3,sting,N,"I can`t bear the sting of defeat.
",???,??? ??????? ??? ?????? ????? ??? ?????? ,"??? ???? ?? ??? ?????? ???? ???????
",?,???????????,aci,Yenilginin acisina dayanamiyorum.
4,sting,V,"When you trouble a wasp, it stings you.
",???? ????,??????? ?? ?????? ??? ?????? ????? ? ??? ?? ??? ????,"?? ?? ????? ?? ????? ???? ??? ?? ?? ???? ??? ????? ???
",?,???????,?????,aci,Bir yaban arisini rahatsiz ettiginizde o sizi sokar.
5,sting,V,"My legs were stinging due to excess walking.
",??? ?????,??? ?? ??????  ??? ?????? ????? ???? ,"????? ???? ?? ??? ?? ???? ??????  ???? ??? ?????
",?,??????,????????,aci,Fazla yürümekten bacaklarim agriyordu.
6,sting,V,"Their comments stung him to get into a fight.
",????????? ????,???? ????????? ??????  ????? ?? ??? ????? ????? ????? ,?? ?? ?????? ?? ??? ????? ??? ???? ?? ???????,?,?????????,????????,aci,Yorumlari onu kavga etmeye itti.
1,stipulate,V,"The money lander stipulated that the money should be returned within five months.
",????? ??????,??????? ????? ???? ????? ??? ?? ?????? ???? ?????? ????? ???? ????? ????? ,"???? ?????? ?? ?? ??? ????? ?? ??? ?? ???? ??? ?? ???? ???? ???? ??????
",??,??????,??????????,sart kosmak,Para toplayan kisi paranin bes ay içerisinde iade edilmesini sart kostu.
1,stir,V,"He sat there for two hours without stirring.
",?????,??? ?????? ?????? ??? ??????  ?????? ???????,"?? ???? ????? ?? ????? ?? ???? ????? ????
",??,?????????????????,karistirmak,Orada iki saat boyunca hiç kipirdamadan oturdu.
2,stir,V,"She stirred the tea with a spoon.
",??????? ? ?????? ???? ,???? ??? ????? ????? ???? ?????,?? ?? ???? ?? ??? ?? ??????,??,????????,karistirmak,Çayi kasikla karistirdi.
3,stir,N,"I gave a stir to the tea in order to dissolve the sugar.
",??????? ? ?????? ???? ,??? ??? ????? ?????? ????? ???????? ????? ,"??? ?? ???? ?? ?????? ?? ??? ???? ??  ??? ?? ??????
",??,?????????,karistirmak,Sekerin erimesi için çayi karistirdim.
4,stir,N,"Her sudden death was quite a stir.
",?? ???????,???? ?????? ????? ???? ????  ??? ???????  ,?? ?? ????? ??? ?? ???? ???? ??? ?? ????,??,???????????????,karistirmak,Ani ölümü oldukça heyecan vericiydi.
5,stirring,Adj,"The story of the beggar was quite stirring.
",????? ????,????? ???? ?????  ?????? ?? ?????? ????,"?????? ?? ????? ???? ???? ???? ???? ????
",??,??????????,karistirma,Dilencinin hikayesi oldukça heyecan vericiydi.
1,stitch,N,"The Doctor had put six stitches on his wound.
",?????,?????? ???? ??? ????? ??? ?????? ,"????? ?? ???? ??? ?? ???? ????? ????? ????
",?,?????????????,dikis,Doktor yarasina alti dikis atmisti.
2,stitch,N,"I asked her to put two stitches on my skirt.
",?????,??? ???? ??? ??? ?? ??????? ?? ?????,"??? ?? ?? ?? ???? ????? ?? ?? ????? ????? ?? ????
",?,??????????????,dikis,Etegime iki dikis atmasini istedim.
3,stitch,N,"Button hole stitch is very common.
",????? ?????? ?????,???? ??? ????? ???  ?????? ??? ,"??? ??? ????? ??? ??? ???
",?,?????????,dikis,Ilik dikisi çok yaygindir.
4,stitch,N,"Excess running caused a stitch in my ankle.
",???,????? ?????? ???? ?????? ??? ?????? ??? ,"????? ?? ????? ????? ?? ???? ????? ??? ??? ????
",?,?????????????,dikis,Asiri kosmak ayak bilegimde dikis olusmasina neden oldu.
5,stitch,V,"My mother stitched a beautiful dress for me.
",?????,??????? ????? ??? ?????? ????? ??? ????????? ????? ,???? ??? ?? ???? ??? ??? ??????? ???? ????,?,???????????????,dikis,Annem bana çok güzel bir elbise dikmisti.
1,stock,N,"The shop has a stock of good quality rice.
",??? ? ??????,??????? ???? ??? ?????? ???  ??????? ??????,"???? ??? ???? ????? ?? ???? ?? ????? ???
",??,??????????????,stoklamak,Dükkanda kaliteli pirinç stogu var.
2,stock,N,"Our ancestors had a big cattle stock in the village.
",???,?????? ????? ??? ?????? ???? ??? ????? ????? ????? ????,"????? ???? ????? ?? ??? ???? ??? ??????? ?? ??? ??? ????? ????
",??,????????????????,stoklamak,Atalarimizin köyde büyükbas hayvan sürüsü vardi.
3,stock,N,"His mother gave him all her stock so that he could start his business well.
",????,????? ??? ????? ???? ??? ??????? ???? ??? ???? ??????? ???? ????? ????? ?????? ?????? ,"?? ?? ????? ?? ??? ???? ???? ??? ????? ??? ???? ?? ???? ??????? ???? ??? ?? ???? ?? ????
",??,??????????????,?????????,stoklamak,Annesi isine iyi bir sekilde baslayabilmesi için tüm hisselerini ona verdi.
4,stock,N,"She comes from an English business stock.
",?????,?? ??? ????????? ????? ,"?? ??????? ???????? ??? ?? ???? ????? ???
",??,??????????,stoklamak,Kendisi Ingiliz is dünyasindan geliyor.
5,stock,N,"He possesses a good stock in other people`s mind.
",???,????? ??? ????? ?????? ??????? ???? ???? ??? ??? ?????????,???? ????? ?? ??? ??? ??? ???? ???? ????? ???,??,???????????????,stoklamak,Baskalarinin zihninde iyi bir hisseye sahip.
6,stock,N,"Chicken stock enhances the taste of chicken soup.
",???????,????? ?????? ???????? ???? ??? ????? ????? ???? ?????,???? ?? ????? ??? ??? ?? ????? ?????? ???,??,????????????,stoklamak,"Tavuk suyu, tavuk çorbasinin tadini arttirir."
7,stock,N,"It`s difficult to support the stock of the gun on your shoulder.
",????,????????? ???? ??????? ????? ?????? ??? ?????? ?????? , ????? ?? ????? ?? ???? ?? ????? ???? ???? ???,??,???????????,stoklamak,Silahin dipçigini omzunuzda desteklemek zordur.
8,stock,Adj,"The shopkeeper keeps bread as one of his stock items.
",????  ???,????????? ??? ???? ??????? ??? ??? ?????? ?????? ,????????? ???? ??? ??? ?? ????? ?? ?????  ??,??,????????????????,stoklamak,Esnaf ekmegi stok kalemlerinden biri olarak sakliyor.
9,stockholder,N,"Rama is an army officer as well as a stockholder.
",???,???? ??? ???? ???? ??? ??? ???? ????? ???  ,"??? ???? ???? ?? ???? ???? ????? ????? ??? ???
",??,???????,???????,hissedar,Rama bir ordu subayi olmasinin yani sira hissedardir.
1,stomach,N,"I did not eat the dinner, as my stomach was full.
",?????,??? ??????? ??? ????? ??????? ??? ???  ????? ?????? ?????,"??? ?? ??? ?? ????? ???? ?????  ?????? ???? ??? ???? ??? ????
",?,??????,?????????,karin,Aksam yemegini midem tok oldugu için yemedim.
2,stomach,N,"When I came back from the school, I had the stomach to eat anything I get.
",??????,?????? ??? ????? ???? ?? ? ???? ?? ???? ????? ?? ??? ??????? ?? ???? ??? ??? ???? ????? ?????? ,?? ??? ???? ?? ???? ??? ?? ???? ??? ????? ??? ?? ?? ??? ??? ??? ??? ???? ????,?,????????,???????????,karin,Okuldan döndügümde elime ne geçerse yiyecek midem vardi.
3,stomach,N,"After a full day slog, I didn`t have the stomach to argue with my brother.
",?????,????? ????? ???? ????? ???? ?????? ???? ???? ??? ??? ???? ????? ???? ???,???? ?? ???? ???? ?? ??? ???? ??? ???? ????? ?? ??? ????  ??? ???? ????,?,??????????,?????????????,karin,Bütün gün süren yogun bir çalismanin ardindan kardesimle tartisacak midem yoktu.
1,stone,N,"During landslides, big stones fell down from the hills.
",????,??????? ???? ????? ??? ????? ???? ????? ?????? ?????? ???? ,"??????? ??? ?? ????? ? ??? ???? ??????? ?? ?? ????
",??,??????,??????????,tas,Heyelan sirasinda tepelerden büyük taslar düstü.
2,stone,N,"Sapphire is a precious stone.
",???????,??????? ???  ???? ????? ???????? ,"???? ??? ????? ???? ???
",??,?????????,tas,Safir degerli bir tastir.
3,stone,N,"Sapphire is a precious stone.
",????,??????? ????? ???????? ??? ??? ???? ???? ,"?? ?? ?? ???? ??? ??? ??????  ???? ???
",??,?????????,tas,Safir degerli bir tastir.
4,stone,N,"People having stone in their kidney suffer from serious pain.
",????,???? ????? ???????? ???? ???? ??? ???? ???? ??? ?? ??? ???? ,"?? ????? ?? ????? ??? ????? ???? ?? ?? ???? ??? ?? ???? ???? ????
",??,?????????????????,tas,Böbreklerinde tas bulunan kisiler ciddi agrilar çekerler.
5,stone,N,"Ram weighs 10 stones.
",???,??? ????? ????? ??? ??? ????,"??? ?? ??? 10 ??? ???
",??,??? 10 ??,tas,Ram'in agirligi 10 tastir.
6,stone,V,"The mad man was stoned to death by the villagers.
",????? ??????,????? ????? ???? ????? ??????  ???? ??????  ?????,?????? ?? ???? ????? ?? ???? ??? ??? ?? ???? ?? ????,??,??????????????,tas,Deli adam köylüler tarafindan taslanarak öldürüldü.
7,stone,V,"She stoned the cherries for the dessert.
",???? ??????,??? ??? ???? ????? ???? ??? ?????  ??????? ??????,?? ?? ??? ????? ????? ?? ?? ???? ?? ?????? ????? ?,??,???????????,tas,Tatli olarak kirazlarin çekirdeklerini çikardi.
1,stop,V,"Rain had stopped yesterday`s cricket.
",???????,????? ????? ????? ?????? ?, ?? ???? ?? ??? ?? ???? ??? ???  ??? ?,??,?????????????,durmak,Yagmur dünkü kriket oyununu durdurmustu.
2,stop,V,"She stopped studies.
",????? ????????????? ?????,???? ??????? ????? ????? ????,"?? ?? ????? ??? ???
",??,???????,durmak,Çalismalari birakti.
3,stop,V,"I couldn`t stop myself from playing in the rain.
",???????,??? ??????  ??? ???? ???  ????? ???? ?????????  ????? ????????,"??? ???? ??? ?????? ?? ??? ?? ???? ??? ???? ????
",??,?????????????,durmak,Yagmurda oynamaktan kendimi alamadim.
4,stop,N,"A sentence should always end with a full stop.
",?????????????,??????  ????? ?????? ????? ???? ????? ??????,"??? ???? ????? ???? ?? ???? ??? ???? ??????
",??,??????????????,durmak,Bir cümle her zaman noktayla bitmelidir.
1,storage,N,"I keep my storage in the cupboard.
",???????,??? ???? ???? ??????? ??????? ???? ??????,"??? ???? ????? ?????? ??? ????? ????
",??,?????????????,depolamak,Esyalarimi dolapta sakliyorum.
2,storage,N,"There is storage of grains in the godown.
",???????,?????? ???? ??? ??????  ????? ???? ????????,"????? ??? ???? ?? ????? ???
",??,????????????,depolamak,Tanrilikta tahil deposu var.
3,storage,N,"We have a storage of world`s encyclopaedia in our computer.
",????,???? ??? ?????????? ???? ????????? ?????????????? ???,????? ??????? ??? ???? ?? ?????? ?? ????? ???,??,???????????????????,depolamak,Bilgisayarinizda dünya ansiklopedisinin bir deposu var.
4,storage,N,"We don`t have storage at home.
",?????,???? ?????? ????? ???? ? ?????,"????? ??? ??? ????? ???? ???
",??,??????????,depolamak,Evde depomuz yok.
5,store,N,"We keep things in a store.
",???????????????,??? ???  ????  ????????? ???? ??????,"?? ????? ?? ??? ????? ??? ????? ????
",??,???????????,magaza,Esyalari bir magazada sakliyoruz.
6,store,N,"Good store of food is required in every house.
",???????,?? ????? ??? ???? ??? ??? ???  ??????? ???? ?????? ????,"?? ??? ??? ????? ?? ???? ????? ????? ???
",??,???????????????,magaza,Her evde iyi bir yiyecek deposu bulunmasi gerekir.
7,store,N,"Benetlon has a good store of clothes.
",???????????,????????? ??? ??????  ????  ???? ???????,"???????? ?? ??? ????? ?? ??? ???? ?????? ???
",??,??????????????,magaza,Benetlon'un iyi bir giysi magazasi var.
8,store,N,"There are several cosmetic stores in a city market.
",?????,???????? ?????? ???? ??? ?????? ???? ?? ??????,"??? ?? ????? ??? ??? ???????? ??? ?????  ?? ????? ??  ?????? ????
",??,?????????????,magaza,Sehir pazarinda birkaç kozmetik magazasi var.
9,store,V,"Store the vegetables in an airtight container.
",????? ??????,???? ???  ???? ??? ????? ??? ???? ???? ?,?????? ?? ??? ??? ??? ???  ????? ??????,??,????????????,magaza,Sebzeleri hava geçirmez bir kapta saklayin.
1,storey,N,"R.B. complex consists of seven storeys.
",???,?? ?? ???????? ???  ????  ????,?? ?? ??????? ??? ?????? ?? ????? ???,?,R.B. ????????,kat,R.B. kompleksi yedi kattan olusuyor.
1,storm,N,"The storm destroyed many villages.
",??????????,??????? ???? ?????? ??? ?????,"????? ?? ??? ?? ????? ?? ???? ??????
",??,???????????,firtina,Firtina birçok köyü yok etti.
2,storm,V,"The troops stormed into the city.
",?????? ?????,????? ???? ?????? ?????? ?,"?????? ?? ??? ??? ???? ??????
",??,???????,firtina,Birlikler sehre hücum etti.
1,story,N,"My father used to tell me bed-time stories.
",?????????????? ????,????? ??? ??? ??? ???????? ???? ?????? ?????,???? ???? ???? ???? ?? ??? ??????? ????? ????,??,?????????????,hikaye,Babam bana yatmadan önce hikayeler anlatirdi.
2,story,N,"The building has ten stories.
",???,??????? ??? ??? ????,"????? ?? ????? ???
",??,???????,hikaye,Binanin on kati var.
1,stove,N,"Rama put the pan on the stove.
",??????????,?????? ????? ???? ????? ?????,???? ?? ??? ?? ????? ?? ??? ????,??,??????????,soba,Rama tavayi ocaga koydu.
1,straight,Adj,"She went straight from the school to house.
",?????,?? ???? ????? ????? ???????  ????  ,?? ???? ?? ????? ??? ???  ???,??,???????????,dümdüz,Dogrudan okuldan eve gitti.
2,straighten,V,"I damaged the front bumper of my car and had to get it straightened.
",????? ?????? ???? ?????,??? ??????? ???? ??????? ?????????? ?????? ?????? ??? ????? ????? ????????,??? ?? ???? ??? ?? ???? ??? ?? ????? ??????? ??? ??? ????? ?????? ????,??,???????????,???????,düzeltmek,Arabamin ön tamponuna zarar verdim ve tamir ettirmek zorunda kaldim.
1,strain,V,"I had to strain myself to listen to her as she spoke in a very low voice.
",????? ????? ????????????? ??? ????,??? ???? ????? ??? ????? ??? ?????  ???? ?????? ????? ??????? ?? ?? ?????? ????? ???? ?????,???? ?? ?? ??? ???? ?? ??? ??? ?? ???? ????? ??? ?????? ?? ??? ????? ???? ??? ???? ????,??,???????????,???????????,gerilmek,Çok alçak bir sesle konusurken onu dinlemek için kendimi zorlamam gerekti.
2,strain,V,"During the last match he strained a foot muscle.
",????? ??????,?????? ????? ????? ???? ???? ??????,????? ??? ?? ????? ?? ?? ???? ?? ????? ??? ???? ? ??? ????,??,???????,?????????,gerilmek,Son maçta ayak kaslarindan birini gerdi.
3,strain,V,"The dispute has strained the relationship between the two families.
",??????? ???????????? ??????? ???????,???? ????? ???? ????? ??? ????? ?????? ???? ?????? ,"?? ?????? ?? ????? ???????? ?? ????? ?????? ???  ???? ????? ??? ???
",??,?????????????????,gerilmek,Anlasmazlik iki aile arasindaki iliskileri gerginlestirdi.
4,strain,V,"Strain water from the boiled noodles before adding the vegetables.
",??????????????,?????????? ???????  ????? ?? ???? ??????? ???????? ,?????? ????? ?? ???? ???? ???? ????? ?? ???? ???? ????,??,???????,???????????,gerilmek,Sebzeleri eklemeden önce haslanmis eristelerin suyunu süzün.
5,strain,N,"It is rather hard to live with the strains of modern life.
",??????,????? ??????? ???????? ?????? ???? ??? ?????? ????? ??????,"???? ????? ?? ???? ? ?? ???? ????  ???? ???? ???
",??,????????????????,gerilmek,Modern yasamin getirdigi zorluklarla yasamak oldukça zordur.
6,strain,N,"He has a neck strain.
",????? ????? ???,???? ???  ???????? ????? ????? ??? ??????,?? ?? ???? ??? ???? ???,??,??????,gerilmek,Boyun gerginligi var.
7,strain,N,"She gave her speech in a cheerful strain.
",?????????????,???? ???? ????????  ???????? ??????,?? ?? ??? ??? ?? ???? ????? ??,??,?????????????,gerilmek,Konusmasini neseli bir tavirla yapti.
8,strain,N,"I could hear the strains of the drums.
",????? ????,??? ?????? ????? ???? ???????,"??? ???? ?? ?????? ?? ???? ????
",??,???????,gerilmek,Davullarin tinilarini duyabiliyordum.
9,strain,N,"A strain of madness runs in the family.
",???????,????? ??? ????? ????? ??? ???? ???????? ????,?????? ??? ???? ?? ?? ??? ???? ???,??,????????????????,gerilmek,Ailede bir tür delilik hakimdir.
10,strain,N,"He is from noble strain.
",???????,??? ??? ?????? ??????????,"?? ??? ??? ?????? ?? ???
",??,??????,gerilmek,Asil bir soydan geliyor.
11,strain,N,"Now there are strains of mosquitoes which are resistant to normal pesticides.
",?????,???? ??? ????? ????? ??? ???? ???? ??? ??? ??? ??? ??? ???? ,??  ?????? ?? ?? ????? ??? ?? ??? ???? ??? ?????? ?? ???? ????? ????,??,??????????????????,gerilmek,Artik normal pestisitlere dirençli sivrisinek türleri var.
1,strange,Adj,"Whatever she said was very strange.
",??????,??? ???????? ???? ???? ???  ???? ???????,"?? ??? ?? ?? ??? ?? ??? ???? ????
",???,?????????,garip,Her ne söylediyse çok tuhafti.
2,strange,Adj,"Everybody makes fun of Hari as he wears strange clothes.
",?????? ? ??????? ??????,??????? ??????? ??? ??????? ???? ??????? ????? ??? ??? ????? ? ?????  ????? ?????,"?? ??? ??? ?? ???? ????? ?? ??????? ?? ???? ? ???? ???? ????? ???
",???,????????????????,garip,Hari tuhaf kiyafetler giydigi için herkes onunla dalga geçiyor.
3,stranger,N,"He is a stranger.
",???????,??? ??? ????????,?? ????? ???,???,????????,yabanci,O bir yabanci.
4,stranger,N,"Children should not talk to strangers.
",??????? ? ?????,???? ?????  ?????? ???? ???? ?????,"???? ?? ??????? ?? ??? ???? ???? ??????
",???,????????????,yabanci,Çocuklar yabancilarla konusmamalidir.
1,strategic,Adj,"His strategic knowledge is excellent.
",???,???? ????? ???? ???? ??? ??????? ,"?? ?? ???? ??? ?????? ???
",??,???????????,stratejik,Stratejik bilgisi mükemmeldir.
1,straw,N,"Straw is the main component of the roof of mud huts.
",????? ,????????? ????? ?????? ????? ???  ???? ???  ?????,??? ?? ?????? ?? ??? ?? ??? ??? ??? ???? ??,??,???????????????,pipet,"Saman, çamur kulübelerinin çatisinin ana bilesenidir."
2,straw,N,"She likes to drink milk by straw.
",?????,???? ??? ?????? ???? ??? ???? ?????,"?? ???? ?? ????? ???? ???? ???? ???? ???
",??,??????????,pipet,Sütü pipetle içmeyi seviyor.
1,stray,Adj,"I think it is a stray dog.
",???????,???? ??? ????? ??? ??? ??????? ????,???? ???? ??? ?? ??? ????? ??? ???,??,???????????,basibos,Sanirim bu bir sokak köpegi.
2,stray,V,"Bad company strayed him from the path of honesty.
",?????,???? ???? ??? ??? ?????????? ?????? ????? ????? ,??? ???? ?? ??? ????????? ?? ????? ?? ????? ????,??,??????????????,basibos,Kötü arkadaslik onu dürüstlük yolundan saptirdi.
1,stream,N,"Hilly areas are full of natural streams.
",?????,????? ?????? ??? ?????? ???? ???? ?????? ???? ,????? ????? ????? ??? ????? ?? ???? ???? ????,??,???????????,aktarim,Tepelik alanlar dogal akarsularla doludur.
2,stream,N,"Students of commerce stream have large job opportunities.
",?????????,??????? ????? ???? ????? ??? ?????? ????? ??????? ?????? ????,"????? ???? ?? ????? ?? ??? ?????? ?? ??? ?????  ???? ????
",??,????????????????,aktarim,Ticaret akisi ögrencilerinin büyük is firsatlari vardir.
3,stream,V,"Sweat was streaming out of his body.
",?????????,???? ??????? ????? ????? ??? ??? ?????,"????? ?? ?? ??? ?? ??? ??? ????
",??,????????????,aktarim,Vücudundan ter akiyordu.
1,street,N,"Orphan children are mostly found on streets.
",?????,????? ????? ??? ???? ???? ????? ????,"???? ??? ????? ?? ????? ?? ???? ???? ????
",??,?????????,sokak,Yetim çocuklar çogunlukla sokaklarda bulunuyor.
1,strength,N,"Subhash Chandra Bose possessed great strength of character.
",???????????,?????? ????? ????? ??? ??? ?????? ??????,"????? ???? ??? ????  ????? ????? ?????????? ???? ??? ??? ????? ?????  ?? ???? ????
",??,???·???·?? (Subhash Chandra Bose) ????????,kuvvet,Subhash Chandra Bose büyük bir karakter gücüne sahipti.
2,strength,N,"Pallavi`s strength is her command on language.
",?????,????? ????? ???? ??? ????? ????? ???? ????? ????? ,???? ?? ???? ???? ?? ?? ?? ????  ???,??,????????????????,kuvvet,Pallavi'nin gücü dile hakim olmasidir.
3,strength,N,"The strength of class 8th is 70.
",?????,???????? ???? ???? ??? ????? ????? ?????  ?? ,????? ????? ??? ???? ?? ????? ?? ???,??,?????70?,kuvvet,8. sinifin gücü 70'tir.
4,strengthen,V,"Regular exercise is required to strengthen the muscles.
",????? ???????,???? ????? ???? ??????? ????? ??? ??? ??? ????? ???? ??????,"????? ?? ????? ????? ?? ??? ??????? ???? ?? ????? ???
",??,????????????,güçlendirmek,Kaslari güçlendirmek için düzenli egzersiz yapmak gerekir.
1,stress,N,"My teacher lays great stress on punctuality.
",???,???? ?????? ??? ?????? ??????? ????? ?????? ??? ????? ,"???? ????? ??? ?? ?????? ?? ??? ??? ???? ????
",??,???????????,stres,Ögretmenim dakiklige büyük önem verir.
2,stress,N,"She put stress on the need of extra security in the border areas.
",???,??????? ??????? ????? ??? ??????? ??? ???????  ????? ?????? ???,??? ?? ????? ?????? ??? ????? ??????? ?? ????? ?? ??? ???,??,???????????????,stres,Sinir bölgelerinde ekstra güvenlik ihtiyacinin altini çizdi.
3,stress,N,"Due to long working hours, Ramu is always under stress.
",?????,??????? ??????? ??? ????? ??? ???? ???? ??? ????? ?????  ??????  ????? ???? ,??? ?? ???? ????? ?? ??? ?? ???? ????? ???? ??? ???? ???,??,???????,Ramu ?????????,stres,Uzun çalisma saatleri nedeniyle Ramu her zaman stres altindadir.
4,stress,V,"India should stress more on providing employment.
",??? ????,?????????? ??? ?????? ????? ????? ????? ??? ????? ,"???????? ?? ?????? ?? ?????? ?? ????? ??? ??????
",??,?????????????,stres,Hindistan istihdam saglamaya daha fazla önem vermeli.
1,stretch,V,"Stretch the rubber band to make it loose.
",???????????? ?????????,???? ??????? ??? ??? ????? ????? ????? ,??? ???? ?? ????? ???? ?? ??? ????????,??,??????????,uzatmak,Gevsetmek için lastik bandi gerin.
2,stretch,V,"Sita stretched the rope tightly.
",?????,????? ???? ???? ????? ,???? ?? ??? ?? ?????? ?? ???????,??,???????,uzatmak,Sita ipi sikica gerdi.
3,stretch,V,"After walking we usually stretch our body.
",??? ?????,?????? ????? ??? ???? ??????? ??? ???? ,???? ?? ??? ?? ??? ??? ?? ???? ??? ?? ??????? ????,??,???,??????????,uzatmak,Yürüdükten sonra genellikle vücudumuzu esnetiriz.
4,stretch,V,"We can stretch the life of fruits by keeping them in the refrigerator.
",?????????????????,???? ????? ?????? ???? ?????? ????? ????? ????? ??????? ,"?? ????? ?? ???? ??? ??? ?? ?? ?? ??? ?? ???? ???? ???
",??,????????????????????????,uzatmak,Meyveleri buzdolabinda saklayarak ömrünü uzatabiliriz.
5,stretch,V,"Influence of Pandit Nehru stretched all across the country.
",??????,????? ????? ????? ??? ??? ????? ?????????? ????? ??????? ,"???? ???? ?? ??? ? ???? ???? ??? ??? ????? ??? ???
",??,???·???????????,uzatmak,Pandit Nehru'nun etkisi tüm ülkeye yayildi.
6,stretch,V,"He stretched all his energy to come in the reign.
",????? ????? ???????,???? ???? ????? ???? ??????? ???? ????? ????? ,?? ?? ?????? ??? ??? ?? ??? ???? ???? ???? ??? ???,??,?????????,uzatmak,Hükümdarliga gelmek için tüm enerjisini harcadi.
7,stretch,V,"He stretch the limits of truth to make himself popular.
",????? ????? ??????,???? ???? ???? ??? ?????? ????? ????? ?????? ??? ???????  ?????? ????? ?????? ,???? ??? ?? ????? ????? ?? ??? ????? ?? ???? ?????,??,?????????????????,uzatmak,Kendini popüler kilmak için gerçegin sinirlarini zorluyor.
1,strictly,Adv,"Traffic rules should be followed strictly.
",????? ???,?????????  ????? ????? ???? ???? ??? ??? ????? ,????? ?????? ?? ???? ?? ??? ??? ?????,???,??????????,kesinlikle,Trafik kurallarina kesinlikle uyulmalidir.
2,strictly,Adv,"This picture is strictly meant for adults.
",?????????,??? ?????? ??? ???? ????? ????? ????? ,"?? ????? ??? ?????? ?? ??? ???
",???,????????????,kesinlikle,Bu resim kesinlikle yetiskinlere yöneliktir.
